week,away_team,home_team,season,season_type,game_id,kickoff_utc,kickoff_et,kickoff_pt,home_abbr,away_abbr,venue,city,state_or_country,network,international,neutral_site,divisional,conference,game_label,notes
12,Jacksonville Jaguars,Tennessee,2025,REG,2025W12-JAX@Tennessee,,TBD,,,JAX,,,,1:00P CBS,,,,,,
12,Kansas City Chiefs,Dallas,2025,REG,2025W12-KC@Dallas,,TBD,,,KC,,,,4:30P CBS,,,,,,
12,Los Angeles Rams,Carolina,2025,REG,2025W12-LAR@Carolina,,TBD,,,LAR,,,,1:00P FOX,,,,,,
12,Las Vegas Raiders,Los,2025,REG,2025W12-LV@Los,,TBD,,,LV,,,,4:25P CBS,,,,,,
12,Minnesota Vikings,Seattle,2025,REG,2025W12-MIN@Seattle,,TBD,,,MIN,,,,4:05P FOX,,,,,,
12,New Orleans Saints,Miami,2025,REG,2025W12-NO@Miami,,TBD,,,NO,,,,1:00P FOX,,,,,,
12,San Francisco 49ers,Cleveland,2025,REG,2025W12-SF@Cleveland,,TBD,,,SF,,,,1:00P CBS,,,,,,
13,Chicago Bears,Green,2025,REG,2025W13-CHI@Green,,TBD,,,CHI,,,,1:00P FOX,,,,,,
13,Cincinnati Bengals,Buffalo,2025,REG,2025W13-CIN@Buffalo,,TBD,,,CIN,,,,4:25P FOX,,,,,,
13,Dallas Cowboys,Detroit,2025,REG,2025W13-DAL@Detroit,,TBD,,,DAL,,,,PRIME VIDEO,,,,,,
13,Denver Broncos,Las,2025,REG,2025W13-DEN@Las,,TBD,,,DEN,,,,4:05P CBS,,,,,,
13,Green Bay Packers,Detroit Lions,2025,REG,2025W13-GB@DET,,10:00 AM,,DET,GB,,,,FOX,,,,,,
13,Houston Texans,Kansas,2025,REG,2025W13-HOU@Kansas,,TBD,,,HOU,,,,8:20P NBC,,,,,,
13,Indianapolis Colts,Jacksonville,2025,REG,2025W13-IND@Jacksonville,,TBD,,,IND,,,,1:00P CBS,,,,,,
13,Los Angeles Rams,Arizona,2025,REG,2025W13-LAR@Arizona,,TBD,,,LAR,,,,4:25P FOX,,,,,,
13,Miami Dolphins,New,2025,REG,2025W13-MIA@New,,TBD,,,MIA,,,,1:00P CBS,,,,,,
13,New Orleans Saints,Tampa,2025,REG,2025W13-NO@Tampa,,TBD,,,NO,,,,1:00P CBS,,,,,,
13,Philadelphia Eagles,Los,2025,REG,2025W13-PHI@Los,,TBD,,,PHI,,,,8:15P ESPN/ABC,,,,,,
13,Pittsburgh Steelers,Baltimore,2025,REG,2025W13-PIT@Baltimore,,TBD,,,PIT,,,,1:00P CBS,,,,,,
13,Seattle Seahawks,Atlanta,2025,REG,2025W13-SEA@Atlanta,,TBD,,,SEA,,,,1:00P FOX,,,,,,
13,Tennessee Titans,Cleveland,2025,REG,2025W13-TEN@Cleveland,,TBD,,,TEN,,,,1:00P FOX,,,,,,
13,Washington Commanders,Minnesota,2025,REG,2025W13-WAS@Minnesota,,TBD,,,WAS,,,,1:00P FOX,,,,,,
14,Arizona Cardinals,Houston,2025,REG,2025W14-ARI@Houston,,TBD,,,ARI,,,,1:00P FOX,,,,,,
14,Atlanta Falcons,Tampa,2025,REG,2025W14-ATL@Tampa,,TBD,,,ATL,,,,PRIME VIDEO,,,,,,
14,Baltimore Ravens,Cincinnati,2025,REG,2025W14-BAL@Cincinnati,,TBD,,,BAL,,,,1:00P CBS,,,,,,
14,Buffalo Bills,New,2025,REG,2025W14-BUF@New,,TBD,,,BUF,,,,1:00P CBS,,,,,,
14,Carolina Panthers,New,2025,REG,2025W14-CAR@New,,TBD,,,CAR,,,,4:25P FOX,,,,,,
14,Cleveland Browns,Chicago,2025,REG,2025W14-CLE@Chicago,,TBD,,,CLE,,,,1:00P FOX,,,,,,
14,Detroit Lions,Los,2025,REG,2025W14-DET@Los,,TBD,,,DET,,,,4:25P FOX,,,,,,
14,Green Bay Packers,Denver,2025,REG,2025W14-GB@Denver,,TBD,,,GB,,,,4:25P CBS,,,,,,
14,Indianapolis Colts,Seattle,2025,REG,2025W14-IND@Seattle,,TBD,,,IND,,,,4:25P CBS,,,,,,
14,Los Angeles Chargers,Kansas,2025,REG,2025W14-LAC@Kansas,,TBD,,,LAC,,,,1:00P CBS,,,,,,
14,Las Vegas Raiders,Philadelphia,2025,REG,2025W14-LV@Philadelphia,,TBD,,,LV,,,,1:00P FOX,,,,,,
14,Minnesota Vikings,Dallas,2025,REG,2025W14-MIN@Dallas,,TBD,,,MIN,,,,8:20P NBC,,,,,,
14,New York Jets,Jacksonville,2025,REG,2025W14-NYJ@Jacksonville,,TBD,,,NYJ,,,,1:00P CBS,,,,,,
14,Tennessee Titans,San,2025,REG,2025W14-TEN@San,,TBD,,,TEN,,,,4:25P FOX,,,,,,
14,Washington Commanders,New,2025,REG,2025W14-WAS@New,,TBD,,,WAS,,,,1:00P FOX,,,,,,
